Id,Content
Main_LahaiRoi_3_2_708_1,我看錯了嗎，那是……虛質磁暴？可是引日殿並沒有發布消息啊？
Main_LahaiRoi_3_2_708_2,難道引日殿對虛質磁暴的預測不準確了……
Main_LahaiRoi_3_2_708_3,不可能，秘日六席的預測不會出錯！一定只是我們沒收到消息！
Main_LahaiRoi_3_2_708_4,對了，我記得艾絲翠德前陣子剛從浮光林回來！她是牧者，應該知道更多情況，我們去問問她吧！
Main_LahaiRoi_3_2_708_5,是啊，希望她只是忘記將預測結果通知給我們了……
Main_LahaiRoi_3_2_709_1,你還好嗎？！
Main_LahaiRoi_3_2_709_2,沒關係，只是在磁暴中暴露了一小會……我身上還帶著些隧群元件，應該沒有大礙。
Main_LahaiRoi_3_2_709_3,你看，你還看得見我，我還沒有變成頻率。
Main_LahaiRoi_3_2_709_4,太可怕了，虛質磁暴竟然會突然發生……
Main_LahaiRoi_3_2_709_5,對了，我記得他們星炬學院的醫務室可以做頻率方面的檢查！那裡離得不遠，現在就去看看吧！
Main_LahaiRoi_3_2_1_1,"你好，打擾了。我是深空聯合的莫寧。
出於工作原因，我需要明確海維夏探測器失控時的情況，以制定維修方案。鑒於探測器失控時，你與琳奈是現場僅有的兩位目擊者，我希望明天能再找你們回顧一次現場情況。
如果你願意赴約，請回覆接受即可。"
Main_LahaiRoi_3_2_1_2,接受。
Main_LahaiRoi_3_2_1_3,好啊，在哪裡？
Main_LahaiRoi_3_2_1_4,收到。會面地點位於學院宿舍，時間為明天早上9點。屆時我也會準時赴約。
Main_LahaiRoi_3_2_1_5,……另外，我還想詢問一些工作之外的事。
Main_LahaiRoi_3_2_1_6,星炬學院的虛誕蟲襲擊一事，你有受傷嗎？如果再次遇到頻率方面的問題，可以隨時來深空聯合處理。我會接待你。
Main_LahaiRoi_3_2_1_7,我沒有受傷，頻率流失的問題也暫時停止了，謝謝你的關心。
Main_LahaiRoi_3_2_1_8,另外，雖然有點冒昧……
Main_LahaiRoi_3_2_1_9,會面的時候，可以帶一些深空聯合的特色食物嗎？
Main_LahaiRoi_3_2_1_11,……好的？
Main_LahaiRoi_3_2_1_12,抱歉，是阿布的要求。
Main_LahaiRoi_3_2_1_13,如果對工作場合而言太過胡鬧的話，不用滿足它也可以。
Main_LahaiRoi_3_2_1_14,……不，沒關係。
Main_LahaiRoi_3_2_1_15,我會記住這個需求的。
Main_LahaiRoi_3_2_1_16,接受
Main_LahaiRoi_3_2_1_17,好啊，在哪裡？
Main_LahaiRoi_3_2_1_18,沒有受傷。
Main_LahaiRoi_3_2_10_1,您好，請問是瑪嘉的母親，艾絲翠德女士嗎？
Main_LahaiRoi_3_2_10_2,欸？您好，是我……請問二位是？
Main_LahaiRoi_3_2_10_3,這位是瑪嘉的老師，莫寧教授。
Main_LahaiRoi_3_2_10_4,沒錯。這位是我的前輩……{PlayerName}教授。
Main_LahaiRoi_3_2_10_5,我們是來進行家訪的。
Main_LahaiRoi_3_2_10_6,家訪……？是那孩子在學校鬧出什麼麻煩了嗎？
Main_LahaiRoi_3_2_10_7,是的，她嚴重違反了實驗操作規範。
Main_LahaiRoi_3_2_10_8,她製造的儀器對學院造成了破壞。
Main_LahaiRoi_3_2_10_9,違規？！這孩子怎麼……
Main_LahaiRoi_3_2_10_10,十分抱歉，都是我管教不周！不論她做了什麼，我都代她向星炬學院道歉！
Main_LahaiRoi_3_2_10_11,那個，請問懲罰嚴重嗎？如果需要賠償，我可以為她支付——
Main_LahaiRoi_3_2_10_12,不需要賠償。
Main_LahaiRoi_3_2_10_13,不過，需要您配合我們的行動。
Main_LahaiRoi_3_2_10_14,莫寧教授，麻煩您描述一下，瑪嘉同學的探測機器人是如何造成損壞的。
Main_LahaiRoi_3_2_10_15,是、是的，正如前輩所說……！
Main_LahaiRoi_3_2_10_16,她……因為未遵守實驗操作規範，使用了不穩定的隧群元件，讓她的探測機器人出現了無差別攻擊行為。
Main_LahaiRoi_3_2_10_17,我已經教育過她，在野外考察時，不能使用這種易被虛質侵蝕的材料。
Main_LahaiRoi_3_2_10_18,……虛質侵蝕？
Main_LahaiRoi_3_2_10_19,二位老師究竟是要問什麼……抱歉，我沒有在星炬學院就讀過，不太明白你們的意思。
Main_LahaiRoi_3_2_10_20,（她的態度突然變了？看來她果然有所隱瞞，再施加一些壓力吧。）
Main_LahaiRoi_3_2_10_21,我們想探明探測機器人失控的全過程。聽說今天早上，是您在附近幫她將機器人開機，啟動自動運行的。
Main_LahaiRoi_3_2_10_22,是的，正如前輩所說。
Main_LahaiRoi_3_2_10_23,請帶我們去事發地點。只要到達現場，我就能憑藉現場的痕跡，還原當時探測機器人的行動。
Main_LahaiRoi_3_2_10_25,不、不行，如果按照機器人的行動路線，會暴露那個東西……
