Id,Content
MAIN_YHX_1111_1,If destroying you is the only way to protect {PlayerName}...
MAIN_YHX_1111_2,Then so be it.
MAIN_YHX_76_1,Hand over...
MAIN_YHX_76_2,...Piloting control.
MAIN_YHX_76_3,Ugh!
MAIN_YHX_76_4,Aemeath!
MAIN_YHX_76_5,(It's heading straight for the Exostrider! I have to catch up and get Aemeath back!)
MAIN_YHX_76_6,"Upon reaching the Exostrider, Sigillum attacks and seizes Aemeath, carrying her high into the sky."
MAIN_YHX_77_1,...Complete...
MAIN_YHX_77_2,(It's throwing up barriers to block my path.)
MAIN_YHX_78_2,Make... whole.
MAIN_YHX_79_1,(Need to find a way out of here first.)
MAIN_YHX_79_2,"(Sigillum isn't just after the Reactor Core, it's targeting my frequency and Aemeath's piloting control of the Exostrider as well.)"
MAIN_YHX_79_3,(What exactly is it planning?)
MAIN_YHX_80_1,Go home.
MAIN_YHX_80_2,"Enough! No more of this stupid idea, Sigillum!"
MAIN_YHX_81_3,Aemeath!
MAIN_YHX_82_1,(Aemeath's hostility toward Sigillum is more than just anger over it taking her power.)
MAIN_YHX_83_1,"Damn it, can't force reboot!"
MAIN_YHX_83_2,Open... Stridergate.
MAIN_YHX_83_3,Not while I'm here. Don't even think about it.
MAIN_YHX_83_4,(Aemeath can't fully control the Exostrider. She needs my help!)
MAIN_YHX_84_1,(It's like Aemeath is doing everything she can to keep Sigillum away from me.)
MAIN_YHX_84_2,(And then there's the Stridergate. There must be a connection.)
MAIN_YHX_86_1,(Right there!)
MAIN_YHX_87_1,It's already speaking more clearly now. I can't let it drain any more of {PlayerName}'s frequency.
MAIN_YHX_87_2,Gotta pull it inside. Gotta end this for good.
MAIN_YHX_1_2,(The Roya's Trine Myth likely mentions it. This lecture could be my chance to find a clue.)
MAIN_YHX_1_3,(My symptoms have stopped for now. But whatever drained my frequency is still somewhere in Lahai-Roi.)
MAIN_YHX_1_4,(The only thing I haven't surveyed yet is the Exostrider out in the frostlands.)
MAIN_YHX_10_1,The New Solar Celebration is almost here. I wonder what they'll put on this time.
MAIN_YHX_10_2,"By then, exams will be over, and we'll finally get a long break."
MAIN_YHX_10_3,"Ah, vacation! What's not to look forward to!"
