Id,Content
Main_LahaiRoi_3_1_3302_1,"Các bể trồng trọt khổng lồ chứa đựng nhiều loài thực vật cổ xưa mà bạn chưa từng thấy trên bề mặt. Sự sống từng rất khan hiếm trong những hang động ngầm này, cho đến khi Động cơ Phản ứng được kích hoạt tại đây. Trong hành trình không ngừng theo đuổi tiến bộ, Tập đoàn Spacetrek đã không quên thu thập những hạt giống đang ngủ yên dưới vùng đất băng giá Roya."
Main_LahaiRoi_YXBLDHJ_1_1,"Thông Báo Sự Kiện Học Viện

Chào cậu! Chúng tôi đã đợi cậu lâu lắm rồi!
Lễ Hội Mặt Trời Mới sắp bắt đầu. Hãy đến địa điểm tổ chức sự kiện và hòa mình vào nguồn năng lượng tuyệt vời này!

Nhưng đó chưa phải là tất cả... Cậu đã nghe tin đồn chưa? Có người đã phát hiện ra ""Mặt Tối"" của Học viện đấy! Nói đến những bức graffiti bí ẩn, những hành lang uốn lượn kỳ lạ kéo dài vô tận, và những bí mật thường bị che giấu...

Chúng tôi cá là bạn cũng háo hức khám phá Bóng Tối này như chúng tôi! Lần này sẽ có những câu đố và trò chơi nào đang chờ đợi nhỉ?

Chúng tôi nghe nói có một câu đố đặc biệt vô cùng đặc biệt được giấu ở đâu đó. Giải được nó, và may mắn lớn có thể sẽ đến với bạn!"
Main_LahaiRoi_YXBLDHJ_101_1,Sigrika?
Main_LahaiRoi_YXBLDHJ_101_2,Anh à?
Main_LahaiRoi_YXBLDHJ_101_3,"Vâng, tôi ở đây."
Main_LahaiRoi_YXBLDHJ_101_4,"Tôi đã thất bại… Tôi không làm được… Xin lỗi, tôi thật sự xin lỗi…"
Main_LahaiRoi_YXBLDHJ_101_5,"Không phải lỗi của cậu, Sigrika. Cậu đã thấy gì ở Bên Tối?"
Main_LahaiRoi_YXBLDHJ_101_6,Tôi không biết. Mọi thứ đều sai cả... Tại sao... Tại sao lại thế này...?
Main_LahaiRoi_YXBLDHJ_101_7,"Điều đó giống như một cơn á́c mộng... Không, không phải ác mộng. Tất cả đều là sự thật."
Main_LahaiRoi_YXBLDHJ_101_8,"Tất cả đều là lỗi của tôi. Những Tacet Discord, những câu đố… tất cả những xáo trộn ở Dark Side đều đến từ tôi."
Main_LahaiRoi_YXBLDHJ_101_9,"Tôi không đủ dũng cảm để đối mặt với thất bại, nên tự nhủ rằng mình có thể xử lý mọi chuyện. Tôi sợ làm mọi người thất vọng… sợ không đáp ứng được kỳ vọng."
Main_LahaiRoi_YXBLDHJ_101_10,Tôi sợ quá. Giờ phải làm sao đây…?
Main_LahaiRoi_YXBLDHJ_101_11,(An ủi cô ấy.)
Main_LahaiRoi_YXBLDHJ_101_12,(Để cô ấy bình tĩnh lại đã.)
Main_LahaiRoi_YXBLDHJ_101_13,"Đó chỉ là một cơn ác mộng thôi. Chúng ta đã thoát ra cùng mấy đứa học sinh đó, nhớ không? Cậu đã làm mọi thứ có thể, và cậu đã làm rất tốt."
Main_LahaiRoi_YXBLDHJ_101_14,Có phải… chỉ là một cơn ác mộng thôi sao?
Main_LahaiRoi_YXBLDHJ_101_15,"Giọng nói đó, giọng bảo chúng ta ở lại… Giờ tôi đã biết đó là ai."
Main_LahaiRoi_YXBLDHJ_101_16,Là tôi...
Main_LahaiRoi_YXBLDHJ_101_17,Tôi là người đã tạo ra nó. Đó là lý do tôi có thể giải được những câu đố và nhìn thấy những Tacet Discord đó. Nó đã nói với tôi... rằng cuối cùng tôi sẽ luôn quay về nơi ấy.
Main_LahaiRoi_YXBLDHJ_101_18,Tôi phải làm gì để ngăn nó trở nên tồi tệ hơn?
Main_LahaiRoi_YXBLDHJ_101_19,"Không có câu trả lời ""đúng"" nào mà tôi có thể đưa cho bạn."
Main_LahaiRoi_YXBLDHJ_101_20,"Nhưng dù cậu quyết định làm gì, tôi sẽ luôn ở đó để giúp đỡ cậu."
Main_LahaiRoi_YXBLDHJ_101_21,...Nhưng như vậy chẳng phải là dựa dẫm vào người khác sao?
Main_LahaiRoi_YXBLDHJ_101_22,Không. Trận chiến này là của riêng cậu. Nhưng cậu sẽ không chiến đấu một mình đâu.
Main_LahaiRoi_YXBLDHJ_101_23,"Bạn từng nói với tôi rằng khi nhắm mắt lại, bạn nghe thấy vô số tiếng nói."
Main_LahaiRoi_YXBLDHJ_101_24,Những điều cậu nghe thấy ở Bên Tối chẳng khác gì những gì tôi đang nói với cậu bây giờ. Tất cả chỉ là... những giọng nói mà thôi.
Main_LahaiRoi_YXBLDHJ_101_25,"Điều quan trọng không phải là họ khiến bạn cảm thấy thế nào, mà là bạn chọn làm gì sau khi nghe họ nói."
Main_LahaiRoi_YXBLDHJ_101_26,Dù lựa chọn của tôi có khiến mọi chuyện tồi tệ hơn đi chăng nữa?
Main_LahaiRoi_YXBLDHJ_101_27,"Dù vậy, cũng không sao cả. Ít nhất chúng ta đã cố gắng hết sức đến phút cuối và không hề hối tiếc."
Main_LahaiRoi_YXBLDHJ_101_28,"Tôi biết có người đã nhìn thấy cái chết của chính mình từ rất xa. Một người vô cùng quan trọng với tôi. Nhưng cô ấy vẫn bước thẳng về phía đó, tiến về sự hy sinh của chính mình."
Main_LahaiRoi_YXBLDHJ_101_29,"Cô ấy đã muốn cứu lấy thế giới. Và cuối cùng, cô ấy đã giữ lời hứa."
Main_LahaiRoi_YXBLDHJ_101_30,Và tôi... tôi còn lâu mới hoàn hảo. Có những điều tôi cũng không thể làm được.
Main_LahaiRoi_YXBLDHJ_101_31,"Dù có chuyện gì xảy ra đi nữa, tôi sẽ không bao giờ hối tiếc về những lựa chọn của mình."
Main_LahaiRoi_YXBLDHJ_101_32,...
Main_LahaiRoi_YXBLDHJ_101_33,Vậy tôi nên thử sao? Dù có thể sẽ thất bại?
Main_LahaiRoi_YXBLDHJ_101_34,"Đại ca, tôi... cần một chút thời gian để suy nghĩ về chuyện này."
Main_LahaiRoi_YXBLDHJ_101_35,Những gì cô ấy đã làm... tôi không thể phán xét. Nhưng tôi đã thấy được quyết tâm và dũng khí của cô ấy. Những điều đó không bao giờ là sai.
Main_LahaiRoi_YXBLDHJ_101_36,"Khi Sigrika tỉnh dậy trong thế giới thực, bạn đã ở đó để an ủi cô ấy.
Bạn nói với cô ấy rằng dù không thể đưa ra câu trả lời ""đúng"", bạn sẽ giúp cô đối mặt với bất cứ điều gì sắp tới.
Đây không phải chuyện đúng hay sai. Mà là đi đến cùng, để cả hai đều không hề hối tiếc."
Main_LahaiRoi_YXBLDHJ_102_1,Vậy tôi nên thử sao? Dù có thể sẽ thất bại?
Main_LahaiRoi_YXBLDHJ_102_2,"Đại ca, tôi... cần một chút thời gian để suy nghĩ về chuyện này."
Main_LahaiRoi_YXBLDHJ_103_1,Tôi có hai vé xem phim. Có muốn đi giải khuây không?
Main_LahaiRoi_YXBLDHJ_103_2,"Từ tiêu đề, đó là một bộ phim về chuyến đi đường cũ từ thế kỷ trước."
Main_LahaiRoi_YXBLDHJ_103_3,Hãy đến phòng chiếu phim tìm tôi nếu bạn quan tâm.
Main_LahaiRoi_YXBLDHJ_104_1,Đúng giờ rồi. Bộ phim sắp bắt đầu.
Main_LahaiRoi_YXBLDHJ_104_2,"Nào, {PlayerName}. Chúng ta vào trong thôi."
Main_LahaiRoi_YXBLDHJ_105_1,Hm… có vẻ như nhân vật chính đang hơi lạc đường rồi.
Main_LahaiRoi_YXBLDHJ_105_2,Có khiến cậu nhớ đến Sigrika không?
Main_LahaiRoi_YXBLDHJ_105_3,"Nó đúng đấy. Thực ra, tôi đã nói chuyện với cô ấy sau vụ việc rồi."
