Id,Content
Main_LahaiRoi_ZRJDYKX_1_1,Chào {PlayerName}. Tôi là Arman đến từ Spacetrek Collective. Bạn có thể đến bây giờ được không?
Main_LahaiRoi_ZRJDYKX_1_2,Denia đã tỉnh và đang được cách ly tại trạm y tế. Chúng tôi muốn hợp tác với bạn về trường hợp của cô ấy.
Main_LahaiRoi_ZRJDYKX_1_3,Chắc chắn rồi.
Main_LahaiRoi_ZRJDYKX_1_4,Chắc chắn rồi.
Main_LahaiRoi_ZRJDYKX_1_5,Rất cảm ơn. Hẹn gặp lại sớm.
Main_LahaiRoi_ZRJDYKX_10_1,"{PlayerName}, việc phê duyệt đã hoàn tất. Mọi thứ đã sẵn sàng. Bạn có thể đón Denia ở ga."
Main_LahaiRoi_ZRJDYKX_11_1,"Bạn đã đến đây, {PlayerName}. Quy trình và danh sách liên lạc đã được gửi đến Thiết bị đầu cuối của bạn. Tất cả các bước và biện pháp dự phòng đều đã được bao gồm."
Main_LahaiRoi_ZRJDYKX_11_2,Rất chi tiết. Tôi thấy một thiết bị ức chế Cộng Hưởng và các mục nhập liên lạc đã được ghi nhận. Mọi người có đồng ý với những điều này không?
Main_LahaiRoi_ZRJDYKX_11_3,"Vâng. Theo yêu cầu của Denia, chúng tôi đã sử dụng Thiết bị đầu cuối của cô ấy để lên lịch các cuộc họp dưới một thông báo giải tỏa phục hồi. Hôm nay, cô ấy sẽ tiếp cận họ với tư cách là một sinh viên."
Main_LahaiRoi_ZRJDYKX_11_4,"Thiết bị trấn áp này... là ý tưởng của cô ấy, một sự đảm bảo cho sự hợp tác. Cô ấy nói rằng nó sẽ khiến mọi thứ trở nên công bằng, dù thực tế cô ấy không cần nó trong trạng thái hiện tại."
Main_LahaiRoi_ZRJDYKX_11_5,"Đây, cầm lấy cái này. Nếu cô ấy thấy không khỏe, hãy bảo cô ấy dùng nó. Nó sẽ giúp cô ấy cảm thấy tốt hơn."
Main_LahaiRoi_ZRJDYKX_11_6,Vậy là bạn đã tìm ra cách khắc phục sự cố tần số của cô ấy sao?
Main_LahaiRoi_ZRJDYKX_11_7,Không... đây chỉ là thuốc an thần thôi. Chúng tôi đã điều chỉnh liều lượng cho ca phẫu thuật này. Còn về kế hoạch điều trị... chúng tôi sẽ cố gắng đưa ra một phiên bản điều chỉnh sớm nhất có thể.
Main_LahaiRoi_ZRJDYKX_11_8,(Thảo nào lần trước Denia lại hành xử như vậy. Cô ấy đã đoán trước được điều này.)
Main_LahaiRoi_ZRJDYKX_11_9,Điểm nghẽn là gì?
Main_LahaiRoi_ZRJDYKX_11_10,"Kết quả chẩn đoán từ Rabelle College cho thấy vấn đề không nằm ở khả năng Cộng Hưởng của cô ấy, mà là do sự cố trong cơ chế tự điều chỉnh của cô ấy..."
Main_LahaiRoi_ZRJDYKX_11_11,Chúng tôi vẫn đang xác minh nhiều giả thuyết về các triệu chứng này. Hy vọng chúng ta sẽ sớm tìm ra câu trả lời.
